hour,weekday,total_accidents,severity_index,fatal_count,serious_count,slight_count,severity_index_per_1000
0,Monday,166,322,8,42,116,1939.76
0,Tuesday,151,275,4,44,103,1821.19
0,Wednesday,177,266,1,40,136,1502.82
0,Thursday,174,336,6,54,114,1931.03
0,Friday,209,366,5,56,148,1751.2
0,Saturday,382,648,8,97,277,1696.34
0,Sunday,447,857,18,124,305,1917.23
1,Monday,113,207,6,20,87,1831.86
1,Tuesday,108,166,0,29,79,1537.04
1,Wednesday,106,191,3,29,74,1801.89
1,Thursday,126,205,3,26,97,1626.98
1,Friday,126,209,1,37,88,1658.73
1,Saturday,274,513,9,79,186,1872.26
1,Sunday,368,600,6,89,273,1630.43
2,Monday,96,223,7,32,57,2322.92
2,Tuesday,77,125,2,15,60,1623.38
2,Wednesday,70,135,3,19,48,1928.57
2,Thursday,76,156,4,22,50,2052.63
2,Friday,98,225,7,32,59,2295.92
2,Saturday,215,392,3,75,137,1823.26
2,Sunday,242,447,7,71,164,1847.11
3,Monday,71,124,1,22,48,1746.48
3,Tuesday,57,104,1,19,37,1824.56
3,Wednesday,74,136,4,13,57,1837.84
3,Thursday,68,115,3,10,55,1691.18
3,Friday,86,198,6,29,51,2302.33
3,Saturday,153,296,7,40,106,1934.64
3,Sunday,195,357,6,54,135,1830.77
4,Monday,80,164,4,24,52,2050.0
4,Tuesday,55,112,3,15,37,2036.36
4,Wednesday,61,111,2,16,43,1819.67
4,Thursday,48,83,1,13,34,1729.17
4,Friday,84,163,3,26,55,1940.48
4,Saturday,154,273,5,37,112,1772.73
4,Sunday,150,278,4,46,100,1853.33
5,Monday,147,270,5,39,103,1836.73
5,Tuesday,156,294,6,42,108,1884.62
5,Wednesday,153,291,6,42,105,1901.96
5,Thursday,148,317,7,53,88,2141.89
5,Friday,139,263,6,35,98,1892.09
5,Saturday,147,319,10,41,96,2170.07
5,Sunday,143,293,6,48,89,2048.95
6,Monday,304,505,9,60,235,1661.18
6,Tuesday,329,516,5,71,253,1568.39
6,Wednesday,303,499,6,71,226,1646.86
6,Thursday,347,551,6,75,266,1587.9
6,Friday,324,569,7,91,226,1756.17
6,Saturday,164,273,3,41,120,1664.63
6,Sunday,122,197,1,33,88,1614.75
7,Monday,707,1077,4,167,536,1523.34
7,Tuesday,834,1270,12,164,658,1522.78
7,Wednesday,879,1345,10,188,681,1530.15
7,Thursday,764,1102,6,142,616,1442.41
7,Friday,617,933,6,131,480,1512.16
7,Saturday,215,393,6,62,147,1827.91
7,Sunday,190,300,2,46,142,1578.95
8,Monday,1111,1608,9,208,894,1447.34
8,Tuesday,1321,1803,2,232,1087,1364.88
8,Wednesday,1319,1835,6,231,1082,1391.21
8,Thursday,1233,1787,10,232,991,1449.31
8,Friday,1030,1433,7,170,853,1391.26
8,Saturday,351,569,8,73,270,1621.08
8,Sunday,233,431,8,63,162,1849.79
9,Monday,708,1084,14,125,569,1531.07
9,Tuesday,773,1123,4,157,612,1452.78
9,Wednesday,783,1137,4,159,620,1452.11
9,Thursday,758,1154,12,144,602,1522.43
9,Friday,659,959,6,123,530,1455.24
9,Saturday,532,853,7,129,396,1603.38
9,Sunday,378,636,8,93,277,1682.54
10,Monday,587,905,6,132,449,1541.74
10,Tuesday,673,1020,5,151,517,1515.6
10,Wednesday,676,1010,2,158,516,1494.08
10,Thursday,613,956,7,140,466,1559.54
10,Friday,765,1176,9,165,591,1537.25
10,Saturday,718,1208,12,191,515,1682.45
10,Sunday,543,882,9,129,405,1624.31
11,Monday,662,1040,14,126,522,1571.0
11,Tuesday,681,1000,5,137,539,1468.43
11,Wednesday,700,1079,13,131,556,1541.43
11,Thursday,695,1117,14,148,533,1607.19
11,Friday,825,1324,11,200,614,1604.85
11,Saturday,917,1431,18,176,723,1560.52
11,Sunday,725,1214,13,186,526,1674.48
12,Monday,739,1188,17,148,574,1607.58
12,Tuesday,793,1244,11,176,606,1568.73
12,Wednesday,838,1296,8,193,637,1546.54
12,Thursday,780,1204,8,176,596,1543.59
12,Friday,936,1461,11,213,712,1560.9
12,Saturday,966,1522,12,224,730,1575.57
12,Sunday,825,1360,13,209,603,1648.48
13,Monday,794,1206,8,170,616,1518.89
13,Tuesday,750,1179,11,165,574,1572.0
13,Wednesday,850,1309,13,171,666,1540.0
13,Thursday,866,1375,15,187,664,1587.76
13,Friday,1005,1518,9,216,780,1510.45
13,Saturday,1019,1613,14,234,771,1582.92
13,Sunday,841,1323,8,205,628,1573.13
14,Monday,848,1286,10,174,664,1516.51
14,Tuesday,913,1513,22,201,690,1657.17
14,Wednesday,946,1482,14,205,727,1566.6
14,Thursday,903,1332,7,183,713,1475.08
14,Friday,1121,1797,20,248,853,1603.03
14,Saturday,988,1591,9,261,718,1610.32
14,Sunday,841,1345,10,207,624,1599.29
15,Monday,1291,1964,15,269,1007,1521.3
15,Tuesday,1309,1947,4,301,1004,1487.39
15,Wednesday,1327,2074,19,288,1020,1562.92
15,Thursday,1356,2084,12,310,1034,1536.87
15,Friday,1560,2370,20,315,1225,1519.23
15,Saturday,927,1508,13,232,682,1626.75
15,Sunday,817,1352,11,218,588,1654.83
16,Monday,1253,1994,21,276,956,1591.38
16,Tuesday,1357,2030,11,287,1059,1495.95
16,Wednesday,1356,2080,12,308,1036,1533.92
16,Thursday,1406,2091,13,284,1109,1487.2
16,Friday,1512,2264,12,322,1178,1497.35
16,Saturday,977,1534,13,220,744,1570.11
16,Sunday,818,1337,13,201,604,1634.47
17,Monday,1417,2121,14,289,1114,1496.82
17,Tuesday,1564,2326,12,327,1225,1487.21
17,Wednesday,1439,2263,20,322,1097,1572.62
17,Thursday,1463,2232,13,326,1124,1525.63
17,Friday,1528,2367,25,307,1196,1549.08
17,Saturday,1020,1578,14,216,790,1547.06
17,Sunday,781,1259,14,176,591,1612.04
18,Monday,983,1531,10,229,744,1557.48
18,Tuesday,1132,1672,12,216,904,1477.03
18,Wednesday,1187,1780,3,283,901,1499.58
18,Thursday,1185,1783,12,245,928,1504.64
18,Friday,1201,1919,18,278,905,1597.84
18,Saturday,993,1594,19,215,759,1605.24
18,Sunday,704,1083,9,149,546,1538.35
19,Monday,698,1075,7,157,534,1540.11
19,Tuesday,778,1201,11,162,605,1543.7
19,Wednesday,803,1250,9,183,611,1556.66
19,Thursday,903,1439,18,187,698,1593.58
19,Friday,944,1445,7,219,718,1530.72
19,Saturday,760,1233,13,178,569,1622.37
19,Sunday,666,1139,15,169,482,1710.21
20,Monday,545,917,12,132,401,1682.57
20,Tuesday,542,827,7,111,424,1525.83
20,Wednesday,570,873,5,129,436,1531.58
20,Thursday,622,1023,15,133,474,1644.69
20,Friday,711,1192,17,164,530,1676.51
20,Saturday,627,1080,11,177,439,1722.49
20,Sunday,531,892,11,131,389,1679.85
21,Monday,413,697,8,106,299,1687.65
21,Tuesday,472,755,9,101,362,1599.58
21,Wednesday,448,724,6,111,331,1616.07
21,Thursday,503,857,12,123,368,1703.78
21,Friday,614,1139,21,168,425,1855.05
21,Saturday,597,1017,12,156,429,1703.52
21,Sunday,461,729,4,116,341,1581.34
22,Monday,334,571,7,87,240,1709.58
22,Tuesday,383,573,2,86,295,1496.08
22,Wednesday,412,754,14,108,290,1830.1
22,Thursday,448,810,14,118,316,1808.04
22,Friday,557,1010,15,159,383,1813.29
22,Saturday,530,972,16,149,365,1833.96
22,Sunday,383,640,7,97,279,1671.02
23,Monday,219,371,6,49,164,1694.06
23,Tuesday,222,382,6,53,163,1720.72
23,Wednesday,270,496,8,77,185,1837.04
23,Thursday,303,513,6,78,219,1693.07
23,Friday,465,794,13,106,346,1707.53
23,Saturday,554,915,5,158,391,1651.62
23,Sunday,295,497,6,74,215,1684.75
