police_force,month,total_accidents,severity_index,fatal_count,serious_count,slight_count,severity_index_per_1000
Avon and Somerset,2023-01,206,282,2,29,175,1368.93
Avon and Somerset,2023-02,179,243,2,23,154,1357.54
Avon and Somerset,2023-03,181,270,5,22,154,1491.71
Avon and Somerset,2023-04,146,242,6,21,119,1657.53
Avon and Somerset,2023-05,194,305,5,33,156,1572.16
Avon and Somerset,2023-06,220,311,3,32,185,1413.64
Avon and Somerset,2023-07,191,275,2,33,156,1439.79
Avon and Somerset,2023-08,188,272,4,24,160,1446.81
Avon and Somerset,2023-09,215,308,3,33,179,1432.56
Avon and Somerset,2023-10,186,263,3,25,158,1413.98
Avon and Somerset,2023-11,197,300,3,38,156,1522.84
Avon and Somerset,2023-12,178,258,2,31,145,1449.44
Bedfordshire,2023-01,124,166,0,21,103,1338.71
Bedfordshire,2023-02,102,140,0,19,83,1372.55
Bedfordshire,2023-03,105,151,2,14,89,1438.1
Bedfordshire,2023-04,93,115,0,11,82,1236.56
Bedfordshire,2023-05,112,172,2,21,89,1535.71
Bedfordshire,2023-06,120,196,2,29,89,1633.33
Bedfordshire,2023-07,101,167,2,24,75,1653.47
Bedfordshire,2023-08,103,170,1,29,73,1650.49
Bedfordshire,2023-09,100,159,1,25,74,1590.0
Bedfordshire,2023-10,113,141,0,14,99,1247.79
Bedfordshire,2023-11,119,182,1,27,91,1529.41
Bedfordshire,2023-12,105,161,2,19,84,1533.33
Cambridgeshire,2023-01,124,189,1,28,95,1524.19
Cambridgeshire,2023-02,116,187,3,22,91,1612.07
Cambridgeshire,2023-03,115,180,1,28,86,1565.22
Cambridgeshire,2023-04,98,173,3,24,71,1765.31
Cambridgeshire,2023-05,113,185,2,27,84,1637.17
Cambridgeshire,2023-06,151,214,1,27,123,1417.22
Cambridgeshire,2023-07,125,211,2,34,89,1688.0
Cambridgeshire,2023-08,127,218,3,32,92,1716.54
Cambridgeshire,2023-09,140,216,0,38,102,1542.86
Cambridgeshire,2023-10,147,240,1,42,104,1632.65
Cambridgeshire,2023-11,157,274,5,36,116,1745.22
Cambridgeshire,2023-12,105,143,0,19,86,1361.9
Cheshire,2023-01,110,156,2,14,94,1418.18
Cheshire,2023-02,121,171,0,25,96,1413.22
Cheshire,2023-03,114,173,3,16,95,1517.54
Cheshire,2023-04,126,199,3,23,100,1579.37
Cheshire,2023-05,144,207,1,27,116,1437.5
Cheshire,2023-06,141,203,0,31,110,1439.72
Cheshire,2023-07,147,211,0,32,115,1435.37
Cheshire,2023-08,112,169,3,15,94,1508.93
Cheshire,2023-09,131,210,3,26,102,1603.05
Cheshire,2023-10,141,197,0,28,113,1397.16
Cheshire,2023-11,118,208,4,27,87,1762.71
Cheshire,2023-12,128,195,3,20,105,1523.44
City of London,2023-01,7,11,0,2,5,1571.43
City of London,2023-02,12,20,0,4,8,1666.67
City of London,2023-03,21,35,0,7,14,1666.67
City of London,2023-04,23,35,0,6,17,1521.74
City of London,2023-05,9,15,0,3,6,1666.67
City of London,2023-06,14,20,0,3,11,1428.57
City of London,2023-07,14,18,0,2,12,1285.71
City of London,2023-08,17,29,0,6,11,1705.88
City of London,2023-09,16,22,0,3,13,1375.0
City of London,2023-10,19,23,0,2,17,1210.53
