police_force,total_accidents,severity_index,fatal_count,serious_count,slight_count,severity_index_per_1000
Avon and Somerset,2281,3329,40,344,1897,1459.45
Bedfordshire,1297,1920,13,253,1031,1480.34
Cambridgeshire,1518,2430,22,357,1139,1600.79
Cheshire,1533,2299,22,284,1227,1499.67
City of London,174,262,0,44,130,1505.75
Cleveland,607,972,9,142,456,1601.32
Cumbria,863,1572,23,251,589,1821.55
Derbyshire,1766,2864,30,414,1322,1621.74
Devon and Cornwall,2806,4506,46,643,2117,1605.84
Dorset,1387,2038,15,258,1114,1469.36
Durham,571,1167,24,190,357,2043.78
Dyfed-Powys,1021,1914,17,370,634,1874.63
Essex,2840,4689,41,740,2059,1651.06
Gloucestershire,1076,1860,16,320,740,1728.62
Greater Manchester,2530,4300,44,687,1799,1699.6
Gwent,502,1011,23,151,328,2013.94
Hampshire,3351,5323,44,788,2519,1588.48
Hertfordshire,1813,2788,29,357,1427,1537.78
Humberside,1975,3101,32,419,1524,1570.13
Kent,3896,5862,44,785,3067,1504.62
Lancashire,2762,4819,35,871,1856,1744.75
Leicestershire,1224,2116,36,284,904,1728.76
Lincolnshire,1724,2762,44,321,1359,1602.09
Merseyside,2129,3281,26,459,1644,1541.1
Metropolitan Police,22740,30559,101,3455,19184,1343.84
Norfolk,1354,2423,35,377,942,1789.51
North Wales,775,1450,27,216,532,1870.97
North Yorkshire,1439,2472,39,341,1059,1717.86
Northamptonshire,1233,1904,27,214,992,1544.2
Northumbria,1900,3022,28,435,1437,1590.53
Nottinghamshire,2022,3273,27,504,1491,1618.69
Police Scotland,4232,8949,149,1688,2395,2114.6
South Wales,952,1453,23,147,782,1526.26
South Yorkshire,2187,3927,38,699,1450,1795.61
Staffordshire,883,1713,42,226,615,1939.98
Suffolk,930,1598,20,244,666,1718.28
Surrey,2740,4268,22,665,2053,1557.66
Sussex,3534,5703,39,909,2586,1613.75
Thames Valley,2948,4488,40,590,2318,1522.39
Warwickshire,994,1689,27,226,741,1699.2
West Mercia,1449,2688,51,390,1008,1855.07
West Midlands,4688,6936,42,935,3711,1479.52
West Yorkshire,4247,7157,48,1239,2960,1685.19
Wiltshire,1353,1955,22,202,1129,1444.94
